5.0.0.0,5.0.255.255,SY
5.158.232.0,5.158.239.255,RU
5.158.240.0,5.158.255.255,FR
5.159.0.0,5.159.7.255,AT
5.159.8.0,5.159.15.255,ES
5.159.16.0,5.159.23.255,GE
5.159.24.0,5.159.31.255,DE
5.159.32.0,5.159.39.255,NL
5.159.40.0,5.159.47.255,IE
5.159.48.0,5.159.55.255,IR
5.159.56.0,5.159.95.255,DE
5.159.96.0,5.159.119.255,RU
5.159.120.0,5.159.127.255,GB
5.159.128.0,5.159.191.255,ES
5.159.192.0,5.159.199.255,NL
5.159.200.0,5.159.215.255,GB
5.159.216.0,5.159.223.255,LU
5.159.224.0,5.159.231.255,GB
5.159.232.0,5.159.239.255,HU
5.159.240.0,5.159.247.255,ES
5.159.248.0,5.159.255.255,TR
5.160.0.0,5.160.255.255,IR
5.161.0.0,5.161.255.255,DE
5.162.0.0,5.162.255.255,OM
5.163.0.0,5.163.255.255,SA
5.164.0.0,5.167.255.255,RU
5.168.0.0,5.171.255.255,IT
5.172.0.0,5.172.31.255,RU
5.172.32.0,5.172.39.255,RS
5.172.40.0,5.172.47.255,NL
5.172.48.0,5.172.63.255,GB
5.172.64.0,5.172.127.255,IT
5.172.128.0,5.172.143.255,CH
5.172.144.0,5.172.151.255,SE
5.172.152.0,5.172.175.255,GB
5.172.176.0,5.172.183.255,RU
5.172.184.0,5.172.191.255,PL
5.172.192.0,5.172.193.103,GR
5.172.193.104,5.172.193.255,RU
5.172.194.0,5.172.207.255,GR
5.172.208.0,5.172.215.255,IT
5.172.216.0,5.172.223.255,NL
5.172.224.0,5.174.255.255,PL
5.175.0.0,5.175.31.255,DE
5.175.32.0,5.175.39.255,IT
5.175.40.0,5.175.47.255,ES
5.175.48.0,5.175.55.255,IT
5.175.56.0,5.175.63.255,GB
5.175.64.0,5.175.77.255,IT
5.175.78.0,5.175.79.255,LY
5.175.80.0,5.175.81.27,NL
5.175.81.28,5.175.81.255,GB
5.175.82.0,5.175.82.255,NL
5.175.83.0,5.175.83.255,GB
5.175.84.0,5.175.85.27,NL
5.175.85.28,5.175.85.255,DE
5.175.86.0,5.175.87.255,NL
5.175.88.0,5.175.127.255,RU
5.175.128.0,5.175.136.255,DE
5.175.137.0,5.175.137.255,US
5.175.138.0,5.175.149.127,DE
5.175.149.128,5.175.149.255,RS
5.175.150.0,5.175.182.255,DE
5.175.183.0,5.175.183.255,US
5.175.184.0,5.175.188.255,DE
5.175.189.0,5.175.189.255,US
5.175.190.0,5.175.255.255,DE
5.176.0.0,5.177.255.255,TR
5.178.0.0,5.178.15.255,AZ
5.178.16.0,5.178.16.255,NL
5.178.17.0,5.178.17.255,GB
5.178.18.0,5.178.18.255,US
5.178.19.0,5.178.19.255,AE
5.178.20.0,5.178.20.255,NL
5.178.21.0,5.178.21.255,AE
5.178.22.0,5.178.23.255,NL
5.178.24.0,5.178.31.255,RU
5.178.32.0,5.178.39.255,NL
5.178.40.0,5.178.40.255,DE
5.178.41.0,5.178.43.127,IT
5.178.43.128,5.178.43.255,BR
5.178.44.0,5.178.44.255,IT
5.178.45.0,5.178.45.255,GB
5.178.46.0,5.178.47.255,IT
5.178.48.0,5.178.63.255,SK
5.178.64.0,5.178.71.255,NL
5.178.72.0,5.178.79.255,SE
5.178.80.0,5.178.87.255,RU
5.178.88.0,5.178.95.255,IT
5.178.96.0,5.178.103.255,GB
5.178.104.0,5.178.108.0,US
5.178.108.1,5.178.108.255,GB
5.178.109.0,5.178.111.255,US
5.178.112.0,5.178.119.255,NL
5.178.120.0,5.178.127.255,IT
5.178.128.0,5.178.255.255,GE
5.179.0.0,5.179.31.255,LV
5.179.32.0,5.179.71.255,IE
5.179.72.0,5.179.79.255,GB
5.179.80.0,5.179.95.255,DK
5.179.96.0,5.179.111.255,GB
5.179.112.0,5.179.119.255,SE
5.179.120.0,5.179.127.255,FR
5.179.128.0,5.179.191.255,IT
5.179.192.0,5.179.199.255,FR
5.179.200.0,5.179.225.31,DE
5.179.225.32,5.179.225.127,NL
5.179.225.128,5.179.230.255,DE
5.179.231.0,5.179.231.255,NL
5.179.232.0,5.180.3.255,DE
5.180.4.0,5.180.7.255,MD
5.180.8.0,5.180.11.255,ES
5.180.12.0,5.180.15.255,AT
5.180.16.0,5.180.19.255,RU
5.180.20.0,5.180.31.255,US
5.180.32.0,5.180.35.255,DE
5.180.36.0,5.180.39.255,QA
5.180.40.0,5.180.44.255,TR
5.180.45.0,5.180.45.255,TW
5.180.46.0,5.180.47.255,TR
5.180.48.0,5.180.51.255,DE
5.180.52.0,5.180.55.255,US
5.180.56.0,5.180.59.255,FR
5.180.60.0,5.180.61.255,US
5.180.62.0,5.180.62.255,DE
5.180.63.0,5.180.63.255,FR
5.180.64.0,5.180.67.255,DE
5.180.68.0,5.180.71.255,IT
5.180.72.0,5.180.75.255,FI
5.180.76.0,5.180.77.255,JP
5.180.78.0,5.180.78.255,SG
5.180.79.0,5.180.79.255,NL
5.180.80.0,5.180.83.255,DE
5.180.84.0,5.180.87.255,GB
5.180.88.0,5.180.91.255,DE
5.180.92.0,5.180.95.255,RU
5.180.96.0,5.180.99.255,HK
5.180.100.0,5.180.101.255,UA
5.180.102.0,5.180.103.255,RU
5.180.104.0,5.180.107.255,TR
5.180.108.0,5.180.111.255,IT
5.180.112.0,5.180.115.255,FI
5.180.116.0,5.180.119.255,CH
5.180.120.0,5.180.123.255,HU
5.180.124.0,5.180.127.255,NL
5.180.128.0,5.180.131.255,UA
5.180.132.0,5.180.135.255,CH
5.180.136.0,5.180.139.255,RU
5.180.140.0,5.180.143.255,NL
5.180.144.0,5.180.148.255,US
5.180.149.0,5.180.149.255,DE
5.180.150.0,5.180.150.255,US
5.180.151.0,5.180.155.255,GB
5.180.156.0,5.180.159.255,RO
5.180.160.0,5.180.163.255,NL
5.180.164.0,5.180.167.255,LU
5.180.168.0,5.180.171.255,IT
5.180.172.0,5.180.175.255,RU
5.180.176.0,5.180.179.255,TR
5.180.180.0,5.180.182.255,NL
5.180.183.0,5.180.183.255,ES
5.180.184.0,5.180.187.255,TR
5.180.188.0,5.180.188.255,HK
5.180.189.0,5.180.189.255,SG
5.180.190.0,5.180.191.255,US
5.180.192.0,5.180.192.255,DE
5.180.193.0,5.180.193.255,AT
5.180.194.0,5.180.195.255,DE
5.180.196.0,5.180.203.255,CZ
5.180.204.0,5.180.207.255,IT
5.180.208.0,5.180.215.255,GB
5.180.216.0,5.180.219.255,HR
5.180.220.0,5.180.223.255,GB
5.180.224.0,5.180.224.255,BE
5.180.225.0,5.180.225.255,NL
5.180.226.0,5.180.226.255,BE
5.180.227.0,5.180.227.255,FR
5.180.228.0,5.180.231.255,ES
5.180.232.0,5.180.235.255,GB
5.180.236.0,5.180.239.255,LT
5.180.240.0,5.180.243.255,RU
5.180.244.0,5.180.247.255,GB
5.180.248.0,5.180.251.255,ES
5.180.252.0,5.181.3.255,US
5.181.4.0,5.181.4.255,HK
5.181.5.0,5.181.5.255,JP
5.181.6.0,5.181.7.255,US
5.181.8.0,5.181.11.255,IE
5.181.12.0,5.181.15.255,GB
5.181.16.0,5.181.19.255,TR
5.181.20.0,5.181.21.255,NL
5.181.22.0,5.181.23.255,EE
5.181.24.0,5.181.24.255,NL
5.181.25.0,5.181.25.255,US
5.181.26.0,5.181.27.255,NL
5.181.28.0,5.181.28.255,BG
5.181.29.0,5.181.29.255,NL
5.181.30.0,5.181.31.255,BG
5.181.32.0,5.181.33.255,TH
5.181.34.0,5.181.35.255,MY
5.181.36.0,5.181.39.255,TR
5.181.40.0,5.181.43.255,US
5.181.44.0,5.181.47.255,ES
5.181.48.0,5.181.51.255,DE
5.181.52.0,5.181.55.255,LB
5.181.56.0,5.181.59.255,GB
5.181.60.0,5.181.63.255,RU
5.181.64.0,5.181.65.255,PH
5.181.66.0,5.181.66.255,JP
5.181.67.0,5.181.67.255,NZ
5.181.68.0,5.181.71.255,RO
5.181.72.0,5.181.75.255,GB
5.181.76.0,5.181.79.255,DE
5.181.80.0,5.181.83.255,BG
5.181.84.0,5.181.87.255,RU
5.181.88.0,5.181.88.255,NL
5.181.89.0,5.181.90.255,EE
5.181.91.0,5.181.91.255,US
5.181.92.0,5.181.95.255,CZ
5.181.96.0,5.181.103.255,ES
5.181.104.0,5.181.107.255,GB
5.181.108.0,5.181.111.255,RU
5.181.112.0,5.181.115.255,US
5.181.116.0,5.181.123.255,DE
5.181.124.0,5.181.124.255,PK
5.181.125.0,5.181.128.255,DE
5.181.129.0,5.181.129.255,PK
5.181.130.0,5.181.131.255,DE
5.181.132.0,5.181.132.255,PK
5.181.133.0,5.181.133.255,DE
5.181.134.0,5.181.134.255,PK
5.181.135.0,5.181.135.255,US
5.181.136.0,5.181.139.255,NE
5.181.140.0,5.181.143.255,TR
5.181.144.0,5.181.147.255,IT
5.181.148.0,5.181.149.255,US
5.181.150.0,5.181.150.255,HK
5.181.151.0,5.181.151.255,DE
5.181.152.0,5.181.155.255,DK
5.181.156.0,5.181.159.255,MD
5.181.160.0,5.181.161.255,IQ
5.181.162.0,5.181.162.255,MD
5.181.163.0,5.181.163.255,IQ
5.181.164.0,5.181.164.255,US
5.181.165.0,5.181.167.255,NL
5.181.168.0,5.181.171.255,RU
5.181.172.0,5.181.175.255,FR
5.181.176.0,5.181.179.255,US
5.181.180.0,5.181.183.255,GB
5.181.184.0,5.181.187.255,US
5.181.188.0,5.181.191.255,PL
5.181.192.0,5.181.195.255,IT
5.181.196.0,5.181.199.255,US
5.181.200.0,5.181.203.255,GB
5.181.204.0,5.181.207.255,ES
5.181.208.0,5.181.211.255,RU
5.181.212.0,5.181.215.255,TR
5.181.216.0,5.181.217.255,DE
5.181.218.0,5.181.219.255,US
5.181.220.0,5.181.223.255,ES
5.181.224.0,5.181.224.255,DE
5.181.225.0,5.181.225.255,GB
5.181.226.0,5.181.226.255,CA
5.181.227.0,5.181.227.255,CN
5.181.228.0,5.181.231.255,AT
5.181.232.0,5.181.232.255,NO
5.181.233.0,5.181.233.255,CA
5.181.234.0,5.181.234.255,US
5.181.235.0,5.181.235.255,JP
5.181.236.0,5.181.243.255,ES
5.181.244.0,5.181.247.255,CZ
5.181.248.0,5.181.251.255,UA
5.181.252.0,5.181.255.255,RU
5.182.0.0,5.182.3.255,DE
5.182.4.0,5.182.7.255,RU
5.182.8.0,5.182.11.255,GB
5.182.12.0,5.182.15.255,FR
5.182.16.0,5.182.17.255,DE
5.182.18.0,5.182.19.255,US
5.182.20.0,5.182.21.255,BG
5.182.22.0,5.182.22.255,DE
5.182.23.0,5.182.23.255,US
5.182.24.0,5.182.25.255,RU
5.182.26.0,5.182.26.255,UZ
5.182.27.0,5.182.27.255,RU
5.182.28.0,5.182.31.255,FR
5.182.32.0,5.182.32.255,CY
5.182.33.0,5.182.33.255,GB
5.182.34.0,5.182.35.255,DE
5.182.36.0,5.182.38.255,RU
5.182.39.0,5.182.39.255,MD
5.182.40.0,5.182.43.255,DE
5.182.44.0,5.182.47.255,IR
5.182.48.0,5.182.48.255,PT
5.182.49.0,5.182.49.255,MY
5.182.50.0,5.182.51.255,US
5.182.52.0,5.182.55.255,RU
5.182.56.0,5.182.59.255,IL
5.182.60.0,5.182.62.255,HK
5.182.63.0,5.182.63.255,NL
5.182.64.0,5.182.67.255,RU
5.182.68.0,5.182.71.255,IT
5.182.72.0,5.182.75.255,ES
5.182.76.0,5.182.79.255,TR
5.182.80.0,5.182.83.255,ES
5.182.84.0,5.182.87.255,RU
5.182.88.0,5.182.91.255,DE
5.182.92.0,5.182.95.255,RU
5.182.96.0,5.182.99.255,UA
5.182.100.0,5.182.103.255,US
5.182.104.0,5.182.107.255,ES
5.182.108.0,5.182.111.255,DE
5.182.112.0,5.182.115.255,HU
5.182.116.0,5.182.119.255,RU
5.182.120.0,5.182.123.255,CO
5.182.124.0,5.182.127.255,AR
5.182.128.0,5.182.131.255,DK
5.182.132.0,5.182.135.255,KW
5.182.136.0,5.182.139.255,FR
5.182.140.0,5.182.143.255,PL
5.182.144.0,5.182.147.255,FR
5.182.148.0,5.182.151.255,CZ
5.182.152.0,5.182.155.255,DE
5.182.156.0,5.182.159.255,FR
5.182.160.0,5.182.167.255,ES
5.182.168.0,5.182.171.255,FR
5.182.172.0,5.182.175.255,ES
5.182.176.0,5.182.179.255,DE
5.182.180.0,5.182.183.255,IL
5.182.184.0,5.182.184.255,AZ
5.182.185.0,5.182.185.255,BD
5.182.186.0,5.182.187.255,US
5.182.188.0,5.182.191.255,NL
5.182.192.0,5.182.192.255,CZ
5.182.193.0,5.182.195.255,US
5.182.196.0,5.182.196.255,BT
5.182.197.0,5.182.197.255,BN
5.182.198.0,5.182.199.255,US
5.182.200.0,5.182.203.255,DE
5.182.204.0,5.182.207.255,TR
5.182.208.0,5.182.211.255,NL
5.182.212.0,5.182.215.255,FR
5.182.216.0,5.182.218.255,TW
5.182.219.0,5.182.219.255,US
5.182.220.0,5.182.223.255,GB
5.182.224.0,5.182.227.255,US
5.182.228.0,5.182.230.255,DE
5.182.231.0,5.182.231.255,NL
5.182.232.0,5.182.239.255,AT
5.182.240.0,5.182.243.255,IT
5.182.244.0,5.182.247.255,TR
5.182.248.0,5.182.251.255,CH
5.182.252.0,5.182.255.255,FR
5.183.0.0,5.183.7.255,CH
5.183.8.0,5.183.11.255,DE
5.183.12.0,5.183.15.255,CZ
5.183.16.0,5.183.19.255,FR
5.183.20.0,5.183.23.255,DE
5.183.24.0,5.183.27.255,RS
5.183.28.0,5.183.31.255,RU
5.183.32.0,5.183.35.255,US
5.183.36.0,5.183.39.255,IT
5.183.40.0,5.183.43.255,DE
5.183.44.0,5.183.47.255,GB
5.183.48.0,5.183.51.255,DE
5.183.52.0,5.183.55.255,LU
5.183.56.0,5.183.59.255,ES
5.183.60.0,5.183.63.255,GB
5.183.64.0,5.183.71.255,RU
5.183.72.0,5.183.75.255,DE
5.183.76.0,5.183.76.255,US
5.183.77.0,5.183.77.255,CA
5.183.78.0,5.183.78.255,US
5.183.79.0,5.183.79.255,GB
5.183.80.0,5.183.83.255,TW
5.183.84.0,5.183.87.255,DE
5.183.88.0,5.183.91.255,TR
5.183.92.0,5.183.95.255,DE
5.183.96.0,5.183.99.255,PT
5.183.100.0,5.183.100.255,NO
5.183.101.0,5.183.101.255,DK
5.183.102.0,5.183.102.255,GB
5.183.103.0,5.183.103.255,ES
5.183.104.0,5.183.107.255,FR
5.183.108.0,5.183.111.255,IT
5.183.112.0,5.183.115.255,TR
5.183.116.0,5.183.123.255,HK
5.183.124.0,5.183.127.255,FR
5.183.128.0,5.183.131.255,RU
5.183.132.0,5.183.135.255,NL
5.183.136.0,5.183.139.255,DE
5.183.140.0,5.183.143.255,NL
5.183.144.0,5.183.147.255,RU
5.183.148.0,5.183.151.255,ES
5.183.152.0,5.183.159.255,RU
5.183.160.0,5.183.167.255,DK
5.183.168.0,5.183.171.255,RO
5.183.172.0,5.183.175.255,AT
5.183.176.0,5.183.177.255,JP
5.183.178.0,5.183.178.255,US
5.183.179.0,5.183.179.255,DE
5.183.180.0,5.183.183.255,RU
5.183.184.0,5.183.187.255,ES
5.183.188.0,5.183.191.255,RU
5.183.192.0,5.183.195.255,PL
5.183.196.0,5.183.199.255,DE
5.183.200.0,5.183.203.255,UA
5.183.204.0,5.183.207.255,US
5.183.208.0,5.183.211.255,RO
5.183.212.0,5.183.215.255,FR
5.183.216.0,5.183.219.255,AT
5.183.220.0,5.183.223.255,ES
5.183.224.0,5.183.227.255,US
5.183.228.0,5.183.231.255,BG
5.183.232.0,5.183.235.255,RU
5.183.236.0,5.183.239.255,BE
5.183.240.0,5.183.243.255,DE
5.183.244.0,5.183.247.255,AT
5.183.248.0,5.183.251.255,FR
5.183.252.0,5.183.254.255,US
5.183.255.0,5.183.255.255,NL
5.184.0.0,5.185.255.255,PL
5.186.0.0,5.186.255.255,DK
5.187.0.0,5.187.7.255,DE
5.187.8.0,5.187.15.255,GE
5.187.16.0,5.187.18.31,GB
5.187.18.32,5.187.18.255,AU
5.187.19.0,5.187.26.255,GB
5.187.27.0,5.187.27.255,US
5.187.28.0,5.187.28.255,AT
5.187.29.0,5.187.29.255,GB
5.187.30.0,5.187.30.255,US
5.187.31.0,5.187.31.255,GB
5.187.32.0,5.187.39.255,ES
5.187.40.0,5.187.47.255,RU
5.187.48.0,5.187.55.255,PL
5.187.56.0,5.187.63.255,CH
5.187.64.0,5.187.95.255,RU
5.187.96.0,5.187.119.255,GP
5.187.120.0,5.187.120.255,MQ
5.187.121.0,5.187.126.255,GP
5.187.127.0,5.187.127.255,MQ
5.187.128.0,5.187.255.255,HU
5.188.0.0,5.188.0.255,US
5.188.1.0,5.188.1.255,ZA
5.188.2.0,5.188.3.255,RU
5.188.4.0,5.188.4.255,BR
5.188.5.0,5.188.5.255,GB
5.188.6.0,5.188.6.255,UA
5.188.7.0,5.188.7.255,BY
5.188.8.0,5.188.11.255,RU
5.188.12.0,5.188.15.255,NL
5.188.16.0,5.188.27.255,EE
5.188.28.0,5.188.31.255,RU
5.188.32.0,5.188.32.255,US
5.188.33.0,5.188.33.255,HK
5.188.34.0,5.188.34.255,SG
5.188.35.0,5.188.35.255,RU
5.188.36.0,5.188.36.255,TR
5.188.37.0,5.188.63.255,RU
5.188.64.0,5.188.67.255,KZ
5.188.68.0,5.188.69.255,RU
5.188.70.0,5.188.70.255,FR
5.188.71.0,5.188.71.255,JP
5.188.72.0,5.188.85.255,RU
5.188.86.0,5.188.87.255,NL
5.188.88.0,5.188.91.255,RU
5.188.92.0,5.188.93.255,FR
5.188.94.0,5.188.95.255,IL
5.188.96.0,5.188.107.255,RU
5.188.108.0,5.188.109.255,PL
5.188.110.0,5.188.111.255,US
5.188.112.0,5.188.119.255,RU
5.188.120.0,5.188.120.255,ZA
5.188.121.0,5.188.121.255,RU
5.188.122.0,5.188.125.255,US
5.188.126.0,5.188.127.255,ES
5.188.128.0,5.188.131.255,RU
5.188.132.0,5.188.132.255,UZ
5.188.133.0,5.188.133.255,ZA
5.188.134.0,5.188.135.255,LU
5.188.136.0,5.188.139.255,RU
5.188.140.0,5.188.143.255,GB
5.188.144.0,5.188.147.255,RU
5.188.148.0,5.188.148.255,ES
5.188.149.0,5.188.150.255,LU
5.188.151.0,5.188.151.255,JP
5.188.152.0,5.188.154.255,KZ
5.188.155.0,5.188.155.255,US
5.188.156.0,5.188.167.255,RU
5.188.168.0,5.188.169.255,TR
5.188.170.0,5.188.171.255,RU
5.188.172.0,5.188.172.255,LT
5.188.173.0,5.188.174.255,NL
5.188.175.0,5.188.175.255,LT
5.188.176.0,5.188.178.255,NL
5.188.179.0,5.188.179.255,PL
5.188.180.0,5.188.182.255,ES
5.188.183.0,5.188.183.255,LT
5.188.184.0,5.188.187.255,RU
5.188.188.0,5.188.191.255,GB
5.188.192.0,5.188.193.255,RU
5.188.194.0,5.188.195.255,NL
5.188.196.0,5.188.199.255,RU
5.188.200.0,5.188.200.255,DE
5.188.201.0,5.188.201.255,PL
5.188.202.0,5.188.203.255,FR
5.188.204.0,5.188.205.255,RU
5.188.206.0,5.188.206.255,BG
5.188.207.0,5.188.212.255,RU
5.188.213.0,5.188.213.255,GB
5.188.214.0,5.188.215.255,US
5.188.216.0,5.188.216.255,RU
5.188.217.0,5.188.217.255,US
5.188.218.0,5.188.219.255,RU
5.188.220.0,5.188.221.255,GB
5.188.222.0,5.188.224.255,RU
5.188.225.0,5.188.225.255,BR
5.188.226.0,5.188.226.255,IT
5.188.227.0,5.188.227.255,IL
5.188.228.0,5.188.228.255,IN
5.188.229.0,5.188.229.255,RU
5.188.230.0,5.188.230.255,HK
5.188.231.0,5.188.231.255,US
5.188.232.0,5.188.232.255,NL
5.188.233.0,5.188.237.255,RU
5.188.238.0,5.188.239.255,BR
5.188.240.0,5.188.242.255,KZ
5.188.243.0,5.188.243.255,RU
5.188.244.0,5.188.247.255,KZ
5.188.248.0,5.188.249.255,RU
5.188.250.0,5.188.250.255,KZ
5.188.251.0,5.188.251.255,RU
5.188.252.0,5.188.255.255,KZ
5.189.0.0,5.189.127.255,RU
5.189.128.0,5.189.191.255,DE
5.189.192.0,5.189.202.127,RU
5.189.202.128,5.189.202.255,VN
5.189.203.0,5.189.215.255,RU
5.189.216.0,5.189.218.255,NL
5.189.219.0,5.189.219.255,PL
5.189.220.0,5.189.220.255,LU
5.189.221.0,5.189.221.255,PL
5.189.222.0,5.189.222.255,ES
5.189.223.0,5.189.247.255,RU
5.189.248.0,5.189.251.255,HR
5.189.252.0,5.189.252.255,CZ
5.189.253.0,5.189.254.255,NL
5.189.255.0,5.189.255.255,PL
5.190.0.0,5.190.7.191,IR
5.190.7.192,5.190.7.255,TR
5.190.8.0,5.190.9.255,IR
5.190.10.0,5.190.11.63,TR
5.190.11.64,5.190.15.127,IR
5.190.15.128,5.190.16.255,TR
5.190.17.0,5.190.31.127,IR
5.190.31.128,5.190.31.255,TR
5.190.32.0,5.190.49.255,IR
5.190.50.0,5.190.51.255,TR
5.190.52.0,5.190.72.255,IR
5.190.73.0,5.190.73.255,TR
5.190.74.0,5.190.76.15,IR
5.190.76.16,5.190.76.255,TR
5.190.77.0,5.190.77.255,IR
5.190.78.0,5.190.78.255,TR
5.190.79.0,5.190.82.95,IR
5.190.82.96,5.190.82.255,TR
5.190.83.0,5.190.100.31,IR
5.190.100.32,5.190.100.255,TR
5.190.101.0,5.190.102.47,IR
5.190.102.48,5.190.102.255,TR
5.190.103.0,5.190.106.127,IR
5.190.106.128,5.190.106.255,TR
5.190.107.0,5.190.111.207,IR
5.190.111.208,5.190.111.255,TR
5.190.112.0,5.190.113.255,IR
5.190.114.0,5.190.114.255,TR
5.190.115.0,5.190.115.255,IR
5.190.116.0,5.190.116.255,TR
5.190.117.0,5.190.117.255,IR
5.190.118.0,5.190.118.255,TR
5.190.119.0,5.190.122.255,IR
5.190.123.0,5.190.123.255,TR
5.190.124.0,5.190.131.63,IR
5.190.131.64,5.190.132.255,TR
5.190.133.0,5.190.139.255,IR
5.190.140.0,5.190.140.255,TR
5.190.141.0,5.190.144.191,IR
5.190.144.192,5.190.144.255,TR
5.190.145.0,5.190.148.95,IR
5.190.148.96,5.190.148.255,TR
5.190.149.0,5.190.159.63,IR
5.190.159.64,5.190.159.255,TR
5.190.160.0,5.190.161.127,IR
5.190.161.128,5.190.162.255,TR
5.190.163.0,5.190.163.255,IR
5.190.164.0,5.190.164.255,TR
5.190.165.0,5.190.165.255,IR
5.190.166.0,5.190.167.255,TR
5.190.168.0,5.190.170.111,IR
5.190.170.112,5.190.170.127,TR
5.190.170.128,5.190.171.255,IR
5.190.172.0,5.190.175.255,TR
5.190.176.0,5.190.178.255,IR
5.190.179.0,5.190.179.255,TR
5.190.180.0,5.190.183.31,IR
5.190.183.32,5.190.183.127,TR
5.190.183.128,5.190.187.255,IR
5.190.188.0,5.190.189.255,TR
5.190.190.0,5.190.199.255,IR
5.190.200.0,5.190.201.255,TR
5.190.202.0,5.190.202.255,IR
5.190.203.0,5.190.207.255,TR
5.190.208.0,5.190.210.191,IR
5.190.210.192,5.190.210.255,TR
5.190.211.0,5.190.215.255,IR
5.190.216.0,5.190.217.255,TR
5.190.218.0,5.190.231.127,IR
5.190.231.128,5.190.231.255,TR
5.190.232.0,5.190.234.255,IR
5.190.235.0,5.190.235.255,TR
5.190.236.0,5.190.255.255,IR
5.191.0.0,5.191.255.255,AZ
5.192.0.0,5.195.255.255,AE
5.196.0.0,5.196.23.255,FR
5.196.24.0,5.196.24.255,ES
5.196.25.0,5.196.32.143,FR
5.196.32.144,5.196.32.255,NL
5.196.33.0,5.196.34.35,FR
5.196.34.36,5.196.34.255,GB
5.196.35.0,5.196.35.255,FR
5.196.36.0,5.196.36.255,IT
5.196.37.0,5.196.37.255,PT
5.196.38.0,5.196.39.3,FR
5.196.39.4,5.196.39.255,PL
5.196.40.0,5.196.40.255,GB
5.196.41.0,5.196.41.255,FR
5.196.42.0,5.196.42.255,GB
5.196.43.0,5.196.44.7,FR
5.196.44.8,5.196.44.127,NL
5.196.44.128,5.196.46.143,FR
5.196.46.144,5.196.46.255,ES
5.196.47.0,5.196.49.255,FR
5.196.50.0,5.196.50.255,GB
5.196.51.0,5.196.51.255,FR
5.196.52.0,5.196.52.255,PL
5.196.53.0,5.196.54.7,FR
5.196.54.8,5.196.54.255,BE
5.196.55.0,5.196.55.255,FR
5.196.56.0,5.196.56.255,PL
5.196.57.0,5.196.59.11,FR
5.196.59.12,5.196.59.255,IT
5.196.60.0,5.196.60.255,DE
5.196.61.0,5.196.61.255,ES
5.196.62.0,5.196.62.255,FR
5.196.63.0,5.196.63.255,BR
5.196.64.0,5.196.95.255,FR
5.196.96.0,5.196.96.255,ES
5.196.97.0,5.196.97.255,PT
5.196.98.0,5.196.98.255,ES
5.196.99.0,5.196.100.3,FR
5.196.100.4,5.196.100.255,IT
5.196.101.0,5.196.102.3,FR
5.196.102.4,5.196.102.255,IT
5.196.103.0,5.196.104.15,FR
5.196.104.16,5.196.105.15,GB
5.196.105.16,5.196.106.3,FR
5.196.106.4,5.196.106.255,ES
5.196.107.0,5.196.107.255,DE
5.196.108.0,5.196.109.31,FR
5.196.109.32,5.196.109.255,CZ
5.196.110.0,5.196.111.23,FR
5.196.111.24,5.196.111.255,GB
5.196.112.0,5.196.113.19,FR
5.196.113.20,5.196.113.255,ES
5.196.114.0,5.196.115.95,FR
5.196.115.96,5.196.115.255,CZ
5.196.116.0,5.196.117.39,FR
5.196.117.40,5.196.117.255,DE
5.196.118.0,5.196.119.47,FR
5.196.119.48,5.196.119.255,IT
5.196.120.0,5.196.120.191,BE
5.196.120.192,5.196.121.255,FR
5.196.122.0,5.196.122.255,LT
5.196.123.0,5.196.124.15,FR
5.196.124.16,5.196.125.19,ES
5.196.125.20,5.196.126.3,FR
5.196.126.4,5.196.126.255,DE
5.196.127.0,5.196.127.255,FR
5.196.128.0,5.196.128.255,CH
5.196.129.0,5.196.129.255,FR
5.196.130.0,5.196.130.255,PL
5.196.131.0,5.196.131.255,PH
5.196.132.0,5.196.132.255,DE
5.196.133.0,5.196.133.255,FR
5.196.134.0,5.196.134.255,IT
5.196.135.0,5.196.135.255,PT
5.196.136.0,5.196.136.255,TC
5.196.137.0,5.196.137.255,FR
5.196.138.0,5.196.138.255,BE
5.196.139.0,5.196.139.255,PL
5.196.140.0,5.196.140.255,FR
5.196.141.0,5.196.141.255,DE
5.196.142.0,5.196.143.79,FR
5.196.143.80,5.196.143.255,PT
5.196.144.0,5.196.146.47,FR
5.196.146.48,5.196.146.255,PL
5.196.147.0,5.196.147.255,FR
5.196.148.0,5.196.149.15,ES
5.196.149.16,5.196.149.255,FR
5.196.150.0,5.196.150.255,BR
5.196.151.0,5.196.151.255,GB
5.196.152.0,5.196.153.31,FR
5.196.153.32,5.196.153.255,DE
5.196.154.0,5.196.155.15,FR
5.196.155.16,5.196.155.255,ES
5.196.156.0,5.196.157.59,FR
5.196.157.60,5.196.157.255,LT
5.196.158.0,5.196.158.255,DE
5.196.159.0,5.196.160.15,FR
5.196.160.16,5.196.160.255,BE
5.196.161.0,5.196.162.31,FR
5.196.162.32,5.196.162.255,GB
5.196.163.0,5.196.163.255,FR
5.196.164.0,5.196.164.255,IT
5.196.165.0,5.196.166.27,FR
5.196.166.28,5.196.167.15,PL
5.196.167.16,5.196.168.35,FR
5.196.168.36,5.196.168.255,NL
5.196.169.0,5.196.169.255,ES
5.196.170.0,5.196.170.255,FR
5.196.171.0,5.196.171.255,GB
5.196.172.0,5.196.172.255,PW
5.196.173.0,5.196.174.39,FR
5.196.174.40,5.196.174.255,FI
5.196.175.0,5.196.175.255,FR
5.196.176.0,5.196.176.255,FI
5.196.177.0,5.196.178.71,FR
