169.0.0.0,169.1.255.255,ZA
169.55.203.19,169.55.203.255,MX
169.55.204.0,169.55.207.207,US
169.55.207.208,169.55.207.255,MX
169.55.208.0,169.55.209.63,US
169.55.209.64,169.55.209.255,MX
169.55.210.0,169.55.215.31,US
169.55.215.32,169.55.215.255,SG
169.55.216.0,169.55.221.159,US
169.55.221.160,169.55.221.255,BR
169.55.222.0,169.55.223.191,US
169.55.223.192,169.55.223.255,GB
169.55.224.0,169.55.225.255,US
169.55.226.0,169.55.226.255,CR
169.55.227.0,169.55.228.79,US
169.55.228.80,169.55.228.255,GB
169.55.229.0,169.55.230.79,US
169.55.230.80,169.55.230.255,ID
169.55.231.0,169.55.232.95,US
169.55.232.96,169.55.232.255,CN
169.55.233.0,169.55.235.127,US
169.55.235.128,169.55.235.255,AU
169.55.236.0,169.55.237.255,US
169.55.238.0,169.55.238.255,MX
169.55.239.0,169.55.242.31,US
169.55.242.32,169.55.242.255,HK
169.55.243.0,169.55.245.143,US
169.55.245.144,169.55.245.255,CN
169.55.246.0,169.55.246.255,US
169.55.247.0,169.55.247.255,MX
169.55.248.0,169.55.248.255,CN
169.55.249.0,169.55.251.143,US
169.55.251.144,169.55.251.255,GB
169.55.252.0,169.55.253.63,US
169.55.253.64,169.55.253.255,MX
169.55.254.0,169.55.255.255,US
169.56.0.0,169.56.0.255,JP
169.56.1.0,169.56.1.255,IL
169.56.2.0,169.56.2.255,US
169.56.3.0,169.56.3.255,CN
169.56.4.0,169.56.7.31,JP
169.56.7.32,169.56.7.255,US
169.56.8.0,169.56.10.127,JP
169.56.10.128,169.56.10.255,CN
169.56.11.0,169.56.12.63,JP
169.56.12.64,169.56.12.255,KH
169.56.13.0,169.56.14.191,JP
169.56.14.192,169.56.14.255,CA
169.56.15.0,169.56.16.31,JP
169.56.16.32,169.56.17.63,CN
169.56.17.64,169.56.18.255,JP
169.56.19.0,169.56.19.255,CN
169.56.20.0,169.56.21.159,JP
169.56.21.160,169.56.21.239,NZ
169.56.21.240,169.56.23.27,JP
169.56.23.28,169.56.23.255,CN
169.56.24.0,169.56.25.63,JP
169.56.25.64,169.56.25.255,US
169.56.26.0,169.56.46.255,JP
169.56.47.0,169.56.47.63,US
169.56.47.64,169.56.51.255,JP
169.56.52.0,169.56.55.255,US
169.56.56.0,169.56.63.255,JP
169.56.64.0,169.56.64.255,KR
169.56.65.0,169.56.65.255,US
169.56.66.0,169.56.67.7,KR
169.56.67.8,169.56.67.255,US
169.56.68.0,169.56.69.135,KR
169.56.69.136,169.56.69.255,US
169.56.70.0,169.56.70.255,KR
169.56.71.0,169.56.71.255,US
169.56.72.0,169.56.73.31,KR
169.56.73.32,169.56.73.255,AU
169.56.74.0,169.56.74.255,PH
169.56.75.0,169.56.76.135,KR
169.56.76.136,169.56.76.255,US
169.56.77.0,169.56.77.255,AU
169.56.78.0,169.56.78.255,US
169.56.79.0,169.56.79.255,JP
169.56.80.0,169.56.80.255,US
169.56.81.0,169.56.81.255,KR
169.56.82.0,169.56.82.255,US
169.56.83.0,169.56.84.63,KR
169.56.84.64,169.56.85.31,US
169.56.85.32,169.56.86.127,KR
169.56.86.128,169.56.86.255,US
169.56.87.0,169.56.88.63,KR
169.56.88.64,169.56.88.239,CN
169.56.88.240,169.56.90.95,KR
169.56.90.96,169.56.90.255,US
169.56.91.0,169.56.92.15,KR
169.56.92.16,169.56.92.255,TH
169.56.93.0,169.56.93.255,KR
169.56.94.0,169.56.94.223,US
169.56.94.224,169.56.96.111,KR
169.56.96.112,169.56.96.255,VN
169.56.97.0,169.56.98.127,KR
169.56.98.128,169.56.98.255,US
169.56.99.0,169.56.101.239,KR
169.56.101.240,169.56.101.255,VN
169.56.102.0,169.56.103.63,KR
169.56.103.64,169.56.103.239,CN
169.56.103.240,169.56.107.143,KR
169.56.107.144,169.56.107.255,US
169.56.108.0,169.56.109.15,KR
169.56.109.16,169.56.109.255,HK
169.56.110.0,169.56.111.15,KR
169.56.111.16,169.56.111.223,US
169.56.111.224,169.56.113.31,KR
169.56.113.32,169.56.113.207,US
169.56.113.208,169.56.115.207,KR
169.56.115.208,169.56.116.255,US
169.56.117.0,169.56.118.255,KR
169.56.119.0,169.56.119.255,US
169.56.120.0,169.56.122.127,KR
169.56.122.128,169.56.122.255,CN
169.56.123.0,169.56.124.31,KR
169.56.124.32,169.56.124.255,JP
169.56.125.0,169.56.126.175,KR
169.56.126.176,169.56.126.223,CN
169.56.126.224,169.56.127.255,KR
169.56.128.0,169.56.128.255,IL
169.56.129.0,169.56.129.255,HK
169.56.130.0,169.56.130.255,KH
169.56.131.0,169.56.132.31,US
169.56.132.32,169.56.132.255,IN
169.56.133.0,169.56.133.255,US
169.56.134.0,169.56.134.255,CN
169.56.135.0,169.56.135.255,MY
169.56.136.0,169.56.137.31,US
169.56.137.32,169.56.137.255,IN
169.56.138.0,169.56.139.255,HK
169.56.140.0,169.56.140.255,MY
169.56.141.0,169.56.141.255,PH
169.56.142.0,169.56.142.255,US
169.56.143.0,169.56.144.15,HK
169.56.144.16,169.56.144.255,US
169.56.145.0,169.56.145.255,IN
169.56.146.0,169.56.146.255,PH
169.56.147.0,169.56.147.255,HK
169.56.148.0,169.56.148.255,SG
169.56.149.0,169.56.150.7,HK
169.56.150.8,169.56.152.255,US
169.56.153.0,169.56.153.255,HK
169.56.154.0,169.56.159.255,US
169.56.160.0,169.56.164.63,KR
169.56.164.64,169.56.165.63,US
169.56.165.64,169.56.171.63,KR
169.56.171.64,169.56.171.191,US
169.56.171.192,169.56.172.255,KR
169.56.173.0,169.56.173.79,US
169.56.173.80,169.56.183.255,KR
169.56.184.0,169.57.0.7,US
169.57.0.8,169.57.1.63,MX
169.57.1.64,169.57.1.255,US
169.57.2.0,169.57.3.35,MX
169.57.3.36,169.57.3.255,US
169.57.4.0,169.57.5.31,MX
169.57.5.32,169.57.5.255,CA
169.57.6.0,169.57.6.255,US
169.57.7.0,169.57.8.31,MX
169.57.8.32,169.57.8.255,US
169.57.9.0,169.57.9.255,MX
169.57.10.0,169.57.10.255,US
169.57.11.0,169.57.12.15,MX
169.57.12.16,169.57.13.3,US
169.57.13.4,169.57.13.255,MX
169.57.14.0,169.57.14.255,US
169.57.15.0,169.57.16.47,MX
169.57.16.48,169.57.16.255,US
169.57.17.0,169.57.17.255,MX
169.57.18.0,169.57.18.255,US
169.57.19.0,169.57.20.191,MX
169.57.20.192,169.57.20.255,US
169.57.21.0,169.57.24.135,MX
169.57.24.136,169.57.24.255,US
169.57.25.0,169.57.26.79,MX
169.57.26.80,169.57.26.255,US
169.57.27.0,169.57.27.255,MX
169.57.28.0,169.57.28.255,IN
169.57.29.0,169.57.30.15,MX
169.57.30.16,169.57.30.255,US
169.57.31.0,169.57.32.7,MX
169.57.32.8,169.57.32.255,US
169.57.33.0,169.57.33.255,CA
169.57.34.0,169.57.35.63,MX
169.57.35.64,169.57.35.255,US
169.57.36.0,169.57.36.255,MX
169.57.37.0,169.57.37.255,HK
169.57.38.0,169.57.39.31,US
169.57.39.32,169.57.39.255,MX
169.57.40.0,169.57.40.255,CA
169.57.41.0,169.57.41.191,MX
169.57.41.192,169.57.44.255,US
169.57.45.0,169.57.45.255,MX
169.57.46.0,169.57.49.95,US
169.57.49.96,169.57.50.31,MX
169.57.50.32,169.57.51.63,US
169.57.51.64,169.57.52.15,MX
169.57.52.16,169.57.52.255,US
169.57.53.0,169.57.53.255,MX
169.57.54.0,169.57.54.255,GB
169.57.55.0,169.57.56.63,MX
169.57.56.64,169.57.56.255,US
169.57.57.0,169.57.58.127,MX
169.57.58.128,169.57.58.191,US
169.57.58.192,169.57.59.255,MX
169.57.60.0,169.57.60.255,US
169.57.61.0,169.57.61.255,GB
169.57.62.0,169.57.62.255,CA
169.57.63.0,169.57.64.79,MX
169.57.64.80,169.57.64.255,US
169.57.65.0,169.57.66.15,MX
169.57.66.16,169.57.66.255,GB
169.57.67.0,169.57.67.255,MX
169.57.68.0,169.57.68.255,US
169.57.69.0,169.57.69.255,MX
169.57.70.0,169.57.70.255,US
169.57.71.0,169.57.71.255,MX
169.57.72.0,169.57.73.127,US
169.57.73.128,169.57.73.255,MX
169.57.74.0,169.57.75.127,US
169.57.75.128,169.57.76.31,MX
169.57.76.32,169.57.76.255,US
169.57.77.0,169.57.77.255,MX
169.57.78.0,169.57.78.255,US
169.57.79.0,169.57.79.255,MX
169.57.80.0,169.57.81.127,US
169.57.81.128,169.57.81.255,MX
169.57.82.0,169.57.82.255,US
169.57.83.0,169.57.84.255,MX
169.57.85.0,169.57.86.63,US
169.57.86.64,169.57.88.63,MX
169.57.88.64,169.57.89.63,US
169.57.89.64,169.57.91.255,MX
169.57.92.0,169.57.93.63,US
169.57.93.64,169.57.93.255,MX
169.57.94.0,169.57.94.255,US
169.57.95.0,169.57.95.255,MX
169.57.96.0,169.57.96.127,US
169.57.96.128,169.57.103.255,MX
169.57.104.0,169.57.104.255,US
169.57.105.0,169.57.106.63,MX
169.57.106.64,169.57.106.127,US
169.57.106.128,169.57.114.127,MX
169.57.114.128,169.57.114.191,US
169.57.114.192,169.57.115.255,MX
169.57.116.0,169.57.117.63,US
169.57.117.64,169.57.119.63,MX
169.57.119.64,169.57.119.255,US
169.57.120.0,169.57.121.23,MX
169.57.121.24,169.57.121.255,US
169.57.122.0,169.57.122.255,UY
169.57.123.0,169.57.124.15,US
169.57.124.16,169.57.125.191,MX
169.57.125.192,169.57.126.207,US
169.57.126.208,169.57.127.255,MX
169.57.128.0,169.57.129.1,BR
169.57.129.2,169.57.129.255,HK
169.57.130.0,169.57.131.63,BR
169.57.131.64,169.57.131.255,CN
169.57.132.0,169.57.133.31,BR
169.57.133.32,169.57.133.255,UY
169.57.134.0,169.57.135.23,BR
169.57.135.24,169.57.135.255,CN
169.57.136.0,169.57.137.127,BR
169.57.137.128,169.57.137.191,US
169.57.137.192,169.57.139.127,BR
169.57.139.128,169.57.139.255,US
169.57.140.0,169.57.141.63,BR
169.57.141.64,169.57.141.255,US
169.57.142.0,169.57.143.55,BR
169.57.143.56,169.57.143.255,HK
169.57.144.0,169.57.145.39,BR
169.57.145.40,169.57.145.255,US
169.57.146.0,169.57.147.47,BR
169.57.147.48,169.57.147.255,HK
169.57.148.0,169.57.149.11,BR
169.57.149.12,169.57.149.255,CN
169.57.150.0,169.57.151.63,BR
169.57.151.64,169.57.151.255,AR
169.57.152.0,169.57.153.15,BR
169.57.153.16,169.57.153.255,NL
169.57.154.0,169.57.155.15,BR
169.57.155.16,169.57.156.7,CO
169.57.156.8,169.57.157.31,BR
169.57.157.32,169.57.157.255,KR
169.57.158.0,169.57.158.255,US
169.57.159.0,169.57.160.55,BR
169.57.160.56,169.57.160.255,AR
169.57.161.0,169.57.162.127,BR
169.57.162.128,169.57.162.255,HK
169.57.163.0,169.57.163.255,BR
169.57.164.0,169.57.164.255,US
169.57.165.0,169.57.166.15,BR
169.57.166.16,169.57.166.255,US
169.57.167.0,169.57.167.255,AF
169.57.168.0,169.57.169.111,BR
169.57.169.112,169.57.169.255,CN
169.57.170.0,169.57.171.31,BR
169.57.171.32,169.57.171.255,DE
169.57.172.0,169.57.173.127,BR
169.57.173.128,169.57.173.255,GB
169.57.174.0,169.57.175.191,BR
169.57.175.192,169.57.175.255,US
169.57.176.0,169.57.178.143,BR
169.57.178.144,169.57.178.255,CN
169.57.179.0,169.57.180.255,BR
169.57.181.0,169.57.181.255,US
169.57.182.0,169.57.183.63,BR
169.57.183.64,169.57.183.255,US
169.57.184.0,169.57.186.63,BR
169.57.186.64,169.57.186.255,CN
169.57.187.0,169.57.188.95,BR
169.57.188.96,169.57.188.255,US
169.57.189.0,169.57.192.63,BR
169.57.192.64,169.57.193.63,US
169.57.193.64,169.57.198.127,BR
169.57.198.128,169.57.198.255,NL
169.57.199.0,169.57.200.127,BR
169.57.200.128,169.57.200.191,US
169.57.200.192,169.57.206.63,BR
169.57.206.64,169.57.206.223,US
169.57.206.224,169.57.212.255,BR
169.57.213.0,169.57.213.63,US
169.57.213.64,169.57.214.255,BR
169.57.215.0,169.57.215.63,US
169.57.215.64,169.57.220.127,BR
169.57.220.128,169.57.220.191,US
169.57.220.192,169.57.224.127,BR
169.57.224.128,169.57.224.191,US
169.57.224.192,169.57.229.63,BR
169.57.229.64,169.57.229.127,US
169.57.229.128,169.57.232.63,BR
169.57.232.64,169.57.234.191,US
169.57.234.192,169.57.235.191,BR
169.57.235.192,169.57.238.127,US
169.57.238.128,169.57.239.63,BR
169.57.239.64,169.57.239.127,US
169.57.239.128,169.57.240.255,BR
169.57.241.0,169.57.242.127,US
169.57.242.128,169.57.244.63,BR
169.57.244.64,169.57.245.63,US
169.57.245.64,169.57.245.127,BR
169.57.245.128,169.57.247.63,US
169.57.247.64,169.57.247.255,BR
169.57.248.0,169.57.249.191,US
169.57.249.192,169.57.250.63,BR
169.57.250.64,169.57.251.255,US
169.57.252.0,169.57.253.191,BR
169.57.253.192,169.57.253.255,US
169.57.254.0,169.57.255.255,BR
169.58.0.0,169.59.63.255,US
169.59.64.0,169.59.69.63,CA
169.59.69.64,169.59.71.63,US
169.59.71.64,169.59.72.63,CA
169.59.72.64,169.59.74.255,US
169.59.75.0,169.59.75.63,CA
169.59.75.64,169.59.78.127,US
169.59.78.128,169.59.78.255,CA
169.59.79.0,169.59.83.191,US
169.59.83.192,169.59.84.63,CA
169.59.84.64,169.59.85.255,US
169.59.86.0,169.59.86.191,CA
169.59.86.192,169.59.90.127,US
169.59.90.128,169.59.91.255,CA
169.59.92.0,169.59.94.191,US
169.59.94.192,169.59.94.255,CA
169.59.95.0,169.59.99.63,US
169.59.99.64,169.59.101.255,CA
169.59.102.0,169.59.102.63,US
169.59.102.64,169.59.104.63,CA
169.59.104.64,169.59.104.255,US
169.59.105.0,169.59.106.63,CA
169.59.106.64,169.59.106.127,US
169.59.106.128,169.59.108.63,CA
169.59.108.64,169.59.108.127,US
169.59.108.128,169.59.109.255,CA
169.59.110.0,169.59.111.191,US
169.59.111.192,169.59.111.255,CA
169.59.112.0,169.59.113.255,US
169.59.114.0,169.59.114.191,CA
169.59.114.192,169.59.115.255,US
169.59.116.0,169.59.116.63,CA
169.59.116.64,169.59.117.191,US
169.59.117.192,169.59.118.191,CA
169.59.118.192,169.59.120.191,US
169.59.120.192,169.59.120.255,CA
169.59.121.0,169.59.123.63,US
169.59.123.64,169.59.123.127,CA
169.59.123.128,169.60.0.175,US
169.60.0.176,169.60.0.255,MX
169.60.1.0,169.60.8.55,US
169.60.8.56,169.60.8.255,IL
169.60.9.0,169.60.15.175,US
169.60.15.176,169.60.15.255,AU
169.60.16.0,169.60.21.175,US
169.60.21.176,169.60.21.255,GB
169.60.22.0,169.60.23.47,US
169.60.23.48,169.60.23.255,IT
169.60.24.0,169.60.26.63,US
169.60.26.64,169.60.26.255,CN
169.60.27.0,169.60.28.23,US
169.60.28.24,169.60.28.191,BR
169.60.28.192,169.60.32.111,US
169.60.32.112,169.60.32.239,MX
169.60.32.240,169.60.34.31,US
169.60.34.32,169.60.34.255,GB
169.60.35.0,169.60.36.111,US
169.60.36.112,169.60.36.255,MX
169.60.37.0,169.60.64.48,US
169.60.64.49,169.60.64.255,CA
169.60.65.0,169.60.66.95,US
169.60.66.96,169.60.66.255,CA
169.60.67.0,169.60.67.255,US
169.60.68.0,169.60.68.255,CA
169.60.69.0,169.60.69.255,AR
169.60.70.0,169.60.71.31,US
169.60.71.32,169.60.71.255,CA
169.60.72.0,169.60.73.31,US
169.60.73.32,169.60.73.255,CL
169.60.74.0,169.60.74.255,CA
169.60.75.0,169.60.76.15,US
169.60.76.16,169.60.76.255,GB
169.60.77.0,169.60.78.79,US
169.60.78.80,169.60.78.255,MA
169.60.79.0,169.60.79.255,US
169.60.80.0,169.60.80.255,CA
169.60.81.0,169.60.81.255,NL
169.60.82.0,169.60.82.255,GB
169.60.83.0,169.60.84.63,US
169.60.84.64,169.60.84.255,AU
169.60.85.0,169.60.86.31,US
169.60.86.32,169.60.87.63,GB
169.60.87.64,169.60.87.255,CN
169.60.88.0,169.60.89.31,US
169.60.89.32,169.60.89.255,DO
169.60.90.0,169.60.91.111,US
169.60.91.112,169.60.91.255,NL
169.60.92.0,169.60.93.15,US
169.60.93.16,169.60.93.255,CA
169.60.94.0,169.60.95.223,US
169.60.95.224,169.60.95.255,CA
169.60.96.0,169.60.96.255,US
169.60.97.0,169.60.97.255,CA
169.60.98.0,169.60.100.199,US
169.60.100.200,169.60.100.255,NL
169.60.101.0,169.60.101.255,US
169.60.102.0,169.60.102.255,CA
169.60.103.0,169.60.104.63,US
169.60.104.64,169.60.104.127,NL
169.60.104.128,169.60.106.255,US
169.60.107.0,169.60.107.255,CA
169.60.108.0,169.60.110.63,US
169.60.110.64,169.60.110.95,NL
169.60.110.96,169.60.111.255,US
169.60.112.0,169.60.112.159,NL
169.60.112.160,169.60.115.23,US
169.60.115.24,169.60.115.255,NL
169.60.116.0,169.60.125.63,US
169.60.125.64,169.60.125.255,GB
169.60.126.0,169.60.134.31,US
169.60.134.32,169.60.134.255,MX
169.60.135.0,169.60.140.111,US
169.60.140.112,169.60.140.255,UY
169.60.141.0,169.60.142.191,US
169.60.142.192,169.60.142.255,RS
169.60.143.0,169.60.143.255,US
169.60.144.0,169.60.144.255,MX
169.60.145.0,169.60.149.127,US
169.60.149.128,169.60.149.255,DO
169.60.150.0,169.60.153.183,US
169.60.153.184,169.60.153.255,GB
169.60.154.0,169.60.155.47,US
169.60.155.48,169.60.155.255,RU
169.60.156.0,169.60.158.215,US
169.60.158.216,169.60.158.255,FR
169.60.159.0,169.60.160.31,US
169.60.160.32,169.60.160.255,CR
169.60.161.0,169.60.162.159,US
169.60.162.160,169.60.162.255,GB
169.60.163.0,169.60.168.224,US
169.60.168.225,169.60.168.255,CO
169.60.169.0,169.60.169.207,PE
169.60.169.208,169.60.171.31,US
169.60.171.32,169.60.171.255,CL
169.60.172.0,169.60.174.223,US
169.60.174.224,169.60.174.255,GB
169.60.175.0,169.60.177.255,US
169.60.178.0,169.60.178.255,CO
169.60.179.0,169.60.182.191,US
169.60.182.192,169.60.182.255,NL
169.60.183.0,169.60.184.31,US
169.60.184.32,169.60.184.255,PE
169.60.185.0,169.60.187.159,US
169.60.187.160,169.60.187.255,GB
169.60.188.0,169.60.189.31,US
169.60.189.32,169.60.189.255,GB
169.60.190.0,169.60.201.15,US
169.60.201.16,169.60.201.255,MX
169.60.202.0,169.60.206.79,US
169.60.206.80,169.60.206.255,IN
169.60.207.0,169.60.227.79,US
169.60.227.80,169.60.227.255,BR
169.60.228.0,169.61.2.95,US
169.61.2.96,169.61.2.255,HK
169.61.3.0,169.61.26.191,US
169.61.26.192,169.61.26.255,SG
169.61.27.0,169.61.57.7,US
169.61.57.8,169.61.57.255,NL
169.61.58.0,169.61.59.223,US
169.61.59.224,169.61.59.255,NL
169.61.60.0,169.61.71.47,US
169.61.71.48,169.61.71.255,FR
169.61.72.0,169.61.74.63,US
169.61.74.64,169.61.74.255,IN
169.61.75.0,169.61.78.143,US
169.61.78.144,169.61.78.255,CA
169.61.79.0,169.61.81.71,US
169.61.81.72,169.61.81.255,BR
169.61.82.0,169.61.88.15,US
169.61.88.16,169.61.88.255,GB
169.61.89.0,169.61.90.63,US
169.61.90.64,169.61.90.255,DE
169.61.91.0,169.61.95.31,US
169.61.95.32,169.61.95.255,GB
169.61.96.0,169.61.97.15,US
169.61.97.16,169.61.97.255,IL
169.61.98.0,169.61.126.31,US
169.61.126.32,169.61.126.191,LU
169.61.126.192,169.61.128.47,US
169.61.128.48,169.61.128.255,SG
169.61.129.0,169.61.130.191,US
169.61.130.192,169.61.130.255,NL
169.61.131.0,169.61.133.239,US
169.61.133.240,169.61.133.255,CA
169.61.134.0,169.61.137.63,US
169.61.137.64,169.61.137.255,GB
169.61.138.0,169.61.142.63,US
169.61.142.64,169.61.142.255,GB
169.61.143.0,169.61.157.255,US
169.61.158.0,169.61.158.255,GB
169.61.159.0,169.61.167.63,US
169.61.167.64,169.61.167.191,SG
169.61.167.192,169.61.170.63,US
169.61.170.64,169.61.170.255,CA
169.61.171.0,169.61.172.223,US
169.61.172.224,169.61.172.255,NL
169.61.173.0,169.62.71.255,US
169.62.72.0,169.62.72.255,CA
169.62.73.0,169.62.74.79,US
169.62.74.80,169.62.74.255,CA
169.62.75.0,169.62.75.255,HK
169.62.76.0,169.62.77.63,US
169.62.77.64,169.62.77.255,ZA
169.62.78.0,169.62.79.31,US
169.62.79.32,169.62.79.255,KR
169.62.80.0,169.62.81.111,US
169.62.81.112,169.62.81.255,JP
169.62.82.0,169.62.82.255,US
169.62.83.0,169.62.83.255,CA
169.62.84.0,169.62.86.63,US
169.62.86.64,169.62.86.255,CA
169.62.87.0,169.62.93.255,US
169.62.94.0,169.62.94.255,CA
169.62.95.0,169.62.124.31,US
169.62.124.32,169.62.124.255,KR
169.62.125.0,169.62.135.175,US
169.62.135.176,169.62.135.239,NL
169.62.135.240,169.62.148.151,US
169.62.148.152,169.62.148.255,NL
169.62.149.0,169.62.158.127,US
169.62.158.128,169.62.158.255,NL
169.62.159.0,169.62.161.127,US
169.62.161.128,169.62.161.255,NL
169.62.162.0,169.62.179.31,US
169.62.179.32,169.62.179.159,NL
169.62.179.160,169.63.70.159,US
169.63.70.160,169.63.70.255,NZ
169.63.71.0,169.63.72.143,US
169.63.72.144,169.63.72.255,BR
169.63.73.0,169.63.77.255,US
169.63.78.0,169.63.78.255,CN
169.63.79.0,169.63.79.239,AR
169.63.79.240,169.63.82.103,US
169.63.82.104,169.63.82.255,IN
169.63.83.0,169.63.85.255,US
169.63.86.0,169.63.86.255,IN
169.63.87.0,169.63.158.89,US
169.63.158.90,169.63.158.191,MA
169.63.158.192,169.136.63.255,US
169.136.64.0,169.136.78.255,SG
169.136.79.0,169.136.79.255,HK
169.136.80.0,169.136.81.255,NL
169.136.82.0,169.136.82.255,HK
169.136.83.0,169.136.83.255,NL
169.136.84.0,169.136.87.255,HK
169.136.88.0,169.136.88.254,SG
169.136.88.255,169.136.100.255,HK
169.136.101.0,169.136.101.254,US
169.136.101.255,169.136.110.255,HK
169.136.111.0,169.136.111.255,DE
169.136.112.0,169.136.112.255,FR
169.136.113.0,169.136.123.255,DE
169.136.124.0,169.136.127.255,HK
169.136.128.0,169.136.131.255,SG
169.136.132.0,169.136.135.255,NL
169.136.136.0,169.136.141.255,SG
169.136.142.0,169.136.143.255,NL
169.136.144.0,169.136.145.255,SG
169.136.146.0,169.136.147.255,NL
169.136.148.0,169.136.162.225,SG
169.136.162.226,169.136.162.255,US
169.136.163.0,169.136.191.225,SG
169.136.191.226,169.137.255.255,US
169.138.0.0,169.138.255.255,SG
169.139.0.0,169.139.255.255,US
169.140.0.0,169.140.255.255,KR
169.141.0.0,169.143.221.255,US
169.143.222.0,169.143.222.255,DE
169.143.223.0,169.143.242.255,US
169.143.243.0,169.143.243.255,SG
169.143.244.0,169.143.247.255,DE
169.143.248.0,169.143.255.255,US
169.144.0.0,169.144.23.255,SE
169.144.24.0,169.144.24.255,US
169.144.25.0,169.144.27.255,SE
169.144.28.0,169.144.63.255,DK
169.144.64.0,169.144.255.255,SE
169.145.0.0,169.145.44.255,US
169.145.45.0,169.145.45.255,BR
169.145.46.0,169.145.46.255,US
169.145.47.0,169.145.47.255,BR
169.145.48.0,169.145.52.255,US
169.145.53.0,169.145.53.255,VE
169.145.54.0,169.145.191.255,US
169.145.192.0,169.145.207.255,SG
169.145.208.0,169.145.223.255,US
169.145.224.0,169.145.239.255,JP
169.145.240.0,169.147.255.255,US
169.148.0.0,169.148.127.255,SA
169.148.128.0,169.148.255.255,US
169.149.0.0,169.149.255.255,IN
169.150.0.0,169.153.183.255,US
169.153.184.0,169.153.184.255,BR
169.153.185.0,169.157.255.255,US
169.158.0.0,169.158.255.255,CU
169.159.0.0,169.159.63.255,GA
169.159.64.0,169.159.127.255,NG
169.159.128.0,169.159.200.127,ZA
169.159.200.128,169.159.200.255,SA
169.159.201.0,169.159.201.255,ZA
169.159.202.0,169.159.202.255,SA
169.159.203.0,169.159.207.255,ZA
169.159.208.0,169.159.223.255,CD
169.159.224.0,169.159.255.255,ZA
169.160.0.0,169.196.54.255,US
169.196.55.0,169.196.57.255,AU
169.196.58.0,169.196.65.255,US
169.196.66.0,169.196.66.255,HK
169.196.67.0,169.196.67.255,US
169.196.68.0,169.196.69.255,HK
169.196.70.0,169.196.70.255,US
169.196.71.0,169.196.71.255,HK
169.196.72.0,169.196.73.255,GB
169.196.74.0,169.196.109.255,US
169.196.110.0,169.196.110.255,JP
169.196.111.0,169.196.155.255,US
169.196.156.0,169.196.156.255,GB
169.196.157.0,169.196.197.255,US
169.196.198.0,169.196.199.255,GB
169.196.200.0,169.197.95.255,US
169.197.96.0,169.197.99.255,RU
169.197.100.0,169.197.107.255,DE
169.197.108.0,169.197.109.255,NL
169.197.110.0,169.197.111.255,US
169.197.112.0,169.197.115.255,GB
169.197.116.0,169.197.119.255,RU
169.197.120.0,169.197.159.255,US
169.197.160.0,169.197.163.255,SC
169.197.164.0,169.197.165.255,US
169.197.166.0,169.197.167.255,PA
169.197.168.0,169.197.168.255,US
169.197.169.0,169.197.169.255,RO
169.197.170.0,169.201.255.255,US
169.202.0.0,169.202.255.255,ZA
169.203.0.0,169.207.255.255,US
169.208.0.0,169.223.255.255,KR
169.224.0.0,169.238.255.255,US
169.239.0.0,169.239.3.255,TZ
169.239.4.0,169.239.11.255,ZA
169.239.12.0,169.239.15.255,CV
169.239.16.0,169.239.19.255,NG
169.239.20.0,169.239.23.255,ZA
169.239.24.0,169.239.25.243,ZW
169.239.25.244,169.239.25.255,GB
169.239.26.0,169.239.27.15,ZW
169.239.27.16,169.239.27.255,GB
169.239.28.0,169.239.31.255,ZA
169.239.32.0,169.239.35.255,AO
169.239.36.0,169.239.39.255,EG
169.239.40.0,169.239.43.255,CM
169.239.44.0,169.239.47.255,ZA
169.239.48.0,169.239.51.255,NG
169.239.52.0,169.239.55.255,US
169.239.56.0,169.239.59.255,NG
169.239.60.0,169.239.63.255,ZA
169.239.64.0,169.239.67.255,CI
169.239.68.0,169.239.71.255,ZA
169.239.72.0,169.239.75.255,CD
169.239.76.0,169.239.79.255,AO
169.239.80.0,169.239.87.255,ZA
169.239.88.0,169.239.89.255,US
169.239.90.0,169.239.90.3,UG
169.239.90.4,169.239.91.255,US
169.239.92.0,169.239.95.255,LY
169.239.96.0,169.239.99.255,CF
169.239.100.0,169.239.103.255,ML
169.239.104.0,169.239.107.255,MZ
169.239.108.0,169.239.111.255,BR
169.239.112.0,169.239.115.255,GQ
169.239.116.0,169.239.119.255,LY
169.239.120.0,169.239.123.255,TD
169.239.124.0,169.239.131.255,ZA
169.239.132.0,169.239.135.255,AO
169.239.136.0,169.239.139.255,SN
169.239.140.0,169.239.143.255,MU
169.239.144.0,169.239.147.255,US
169.239.148.0,169.239.151.255,GA
169.239.152.0,169.239.155.255,ZA
169.239.156.0,169.239.159.255,CD
169.239.160.0,169.239.163.255,KE
169.239.164.0,169.239.167.255,ZA
169.239.168.0,169.239.171.255,KE
169.239.172.0,169.239.175.255,US
169.239.176.0,169.239.183.255,ZA
169.239.184.0,169.239.187.255,GB
169.239.188.0,169.239.195.255,NG
169.239.196.0,169.239.199.255,SL
169.239.200.0,169.239.201.255,FR
169.239.202.0,169.239.202.255,ZA
169.239.203.0,169.239.203.255,FR
169.239.204.0,169.239.207.255,US
169.239.208.0,169.239.211.255,ZA
169.239.212.0,169.239.215.255,CD
169.239.216.0,169.239.231.255,ZA
169.239.232.0,169.239.232.255,PT
169.239.233.0,169.239.234.255,NG
169.239.235.0,169.239.235.255,PT
169.239.236.0,169.239.239.255,NG
